alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_sci,"energie, règlement ue n° 1169/2011 (kj/100 g)","energie, règlement ue n° 1169/2011 (kcal/100 g)","energie, n x facteur jones, avec fibres  (kj/100 g)","energie, n x facteur jones, avec fibres  (kcal/100 g)",eau (g/100 g),"protéines, n x facteur de jones (g/100 g)","protéines, n x 6.25 (g/100 g)",glucides (g/100 g),lipides (g/100 g),sucres (g/100 g),fructose (g/100 g),galactose (g/100 g),glucose (g/100 g),lactose (g/100 g),maltose (g/100 g),saccharose (g/100 g),amidon (g/100 g),fibres alimentaires (g/100 g),polyols totaux (g/100 g),cendres (g/100 g),alcool (g/100 g),acides organiques (g/100 g),ag saturés (g/100 g),ag monoinsaturés (g/100 g),ag polyinsaturés (g/100 g),"ag 4:0, butyrique (g/100 g)","ag 6:0, caproïque (g/100 g)","ag 8:0, caprylique (g/100 g)","ag 10:0, caprique (g/100 g)","ag 12:0, laurique (g/100 g)","ag 14:0, myristique (g/100 g)","ag 16:0, palmitique (g/100 g)","ag 18:0, stéarique (g/100 g)","ag 18:1 9c (n-9), oléique (g/100 g)","ag 18:2 9c,12c (n-6), linoléique (g/100 g)","ag 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","ag 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","ag 20:5 5c,8c,11c,14c,17c (n-3) epa (g/100 g)","ag 22:6 4c,7c,10c,13c,16c,19c (n-3) dha (g/100 g)",cholestérol (mg/100 g),sel chlorure de sodium (g/100 g),calcium (mg/100 g),chlorure (mg/100 g),cuivre (mg/100 g),fer (mg/100 g),iode (µg/100 g),magnésium (mg/100 g),manganèse (mg/100 g),phosphore (mg/100 g),potassium (mg/100 g),sélénium (µg/100 g),sodium (mg/100 g),zinc (mg/100 g),rétinol (µg/100 g),beta-carotène (µg/100 g),vitamine d (µg/100 g),vitamine e (mg/100 g),vitamine k1 (µg/100 g),vitamine k2 (µg/100 g),vitamine c (mg/100 g),vitamine b1 ou thiamine (mg/100 g),vitamine b2 ou riboflavine (mg/100 g),vitamine b3 ou pp ou niacine (mg/100 g),vitamine b5 ou acide pantothénique (mg/100 g),vitamine b6 (mg/100 g),vitamine b9 ou folates totaux (µg/100 g),vitamine b12 (µg/100 g)
0,0,0,,,,24999,Dessert (aliment moyen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,178.0,,,11.0,,,107.0,181.0,,153.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25601,"Salade de thon et légumes, appertisée",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,731.0,,,2.0,,,,232.0,,445.0,,,,,,,,,,,,,,31.0,
1,101,0,entrées et plats composés,salades composées et crudités,,25602,"Salade composée avec viande ou poisson, appertisée",,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,22.0,584.0,,,,20.0,,92.0,220.0,30.0,381.0,,,781.0,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25605,"Champignons à la grecque, appertisés",,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,277.0,,500.0,,0.0,747.0,0.0,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25606,"Salade de pommes de terre, fait maison",,,,,,76.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,68.0,,19.0,,,,,15.0,,52.0,254.0,,529.0,,29.0,36.0,0.0,,,,10.0,,,,,,7.0,0.0
1,101,0,entrées et plats composés,salades composées et crudités,,25608,"Taboulé ou Salade de couscous, préemballé",,753.0,179.0,753.0,179.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,24.0,647.0,,,,25.0,,80.0,210.0,,399.0,,0.0,149.0,0.0,,,,,,,,,,,0.0
1,101,0,entrées et plats composés,salades composées et crudités,,25609,"Salade de pomme de terre à la piémontaise, préemballée",,542.0,130.0,542.0,130.0,,,,,,,,,,,,,6.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,13.0,709.0,,,,16.0,,72.0,300.0,,433.0,,,,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25614,"Salade de riz, appertisée",,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,431.0,,,34.0,,,,,,,,,,,,
1,101,0,entrées et plats composés,salades composées et crudités,,25615,"Salade de pâtes, végétarienne",,,,,,,,,,,,,0.0,,0.0,,,10.0,,,,0.0,,,,,,,,,,,,,,,,,,,6.0,,14.0,86.0,,,4.0,11.0,,37.0,84.0,,51.0,,7.0,1180.0,0.0,,,,21.0,,,,0.0,,16.0,0.0
1,101,0,entrées et plats composés,salades composées et crudités,,25616,"Crudité, sans assaisonnement (aliment moyen)",,125.0,,125.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,,,,,1930.0,,,24.0,,,,,,,,,0.0
