code,product_name,brands,categories,nutriscore_grade,nova_group,ecoscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,ingredients_text,allergens,additives_n,image_url,nutriscore_numeric,ecoscore_numeric
7622210449283,Prince Goût Chocolat,LU,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Sandwich biscuits",e,4.0,d,465.0,17.5,5.5,70.0,31.5,4.0,6.5,0.5,"Céréale 50 % (Farine de blé 34,8 %, farine de blé complet 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de blé, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lécithines de soja), sel, lait écrémé en poudre, perméat de lactosérum (de lait), arômes. Peut contenir œuf.","en:eggs,en:gluten,en:milk,en:soybeans",3.0,https://images.openfoodfacts.org/images/products/762/221/044/9283/front_en.605.400.jpg,5.0,4.0
3046920029759,Excellence Noir Prodigieux 90% Cacao,Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolats noirs extra fin",e,3.0,e,592.0,55.0,30.0,14.0,7.0,0.0,10.0,0.03,"Pâte de cacao, beurre de cacao, cacao maigre, sucre, vanille.",,0.0,https://images.openfoodfacts.org/images/products/304/692/002/9759/front_en.492.400.jpg,5.0,5.0
3017620425035,Nutella,Ferrero,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes,Pâtes à tartiner aux noisettes et au cacao",e,4.0,unknown,539.0,30.9,10.6,57.5,56.3,,6.3,0.107,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten","en:milk,en:nuts,en:soybeans",2.0,https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.400.jpg,5.0,
20995553,Chocolat noir - 85% cacao,J. D. Gross,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",d,4.0,d,600.0,48.0,28.0,36.0,12.0,16.0,12.0,0.0,"Pâte de cacao, cacao maigre en poudre, beurre de cacao, sucre, émulsifiant : lécithines (soja) ; extrait de vanille. Traces éventuelles de fruits à coque et de lait.",en:soybeans,2.0,https://images.openfoodfacts.org/images/products/000/002/099/5553/front_en.314.400.jpg,4.0,4.0
7622210578464,Organic 70% Dark Chocolate Bar,Green & Black's,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",e,3.0,d,580.0,42.0,25.0,36.0,29.0,10.0,9.1,0.01,"cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #, may contain nuts, milk,",,0.0,https://images.openfoodfacts.org/images/products/762/221/057/8464/front_en.29.400.jpg,5.0,4.0
3046920022651,Excellence Noir Intense 70% Cacao,Lindt,"Produits fermentés,Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",e,3.0,e,566.0,41.0,24.0,35.0,30.0,,9.5,0.02,"Pâte de cacao, sucre, beurre de cacao, vanille.

Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.",,0.0,https://images.openfoodfacts.org/images/products/304/692/002/2651/front_en.159.400.jpg,5.0,5.0
8052575090230,Nocciolata,Rigoni Di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",e,4.0,c,544.0,32.0,5.7,54.0,51.0,3.6,8.1,0.12,"Sucre, pâte de _noisettes_ 18,5%, huile de tournesol, _lait_ écrémé en poudre, cacao maigre en poudre 6,5%, beurre de cacao, lécithine de _soja_, extrait de vanille.","en:milk,en:nuts,en:soybeans",1.0,https://images.openfoodfacts.org/images/products/805/257/509/0230/front_en.58.400.jpg,5.0,3.0
7622210584724,Dark chocolate,Green and black,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Chocolats,Chocolats noirs",d,3.0,c,606.0,50.0,30.0,23.9,13.9,12.8,10.0,0.131,"pâte de cacao*, beurre de cacao*, cacao maigre en poudre*, sucre de canne*, extrait de vanille*, * ingrédients issus de l'agriculture biologique",,0.0,https://images.openfoodfacts.org/images/products/762/221/058/4724/front_en.95.400.jpg,4.0,3.0
3046920022606,Excellence Noir Puissant 85% Cacao,Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette",e,3.0,e,584.0,46.0,27.0,22.0,15.0,0.0,12.5,0.02,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille.

Peut contenir du lait, des fruits à coque, du soja et des graines de sésame.",,0.0,https://images.openfoodfacts.org/images/products/304/692/002/2606/front_en.102.400.jpg,5.0,5.0
3229820100234,Fourrés Chocolat Noir,Bjorg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, Filled biscuits, Dark chocolate biscuits, Sandwich biscuits",d,4.0,b,476.0,19.0,6.3,66.0,27.0,5.2,7.6,0.49,"Farine de blé* 41%, Chocolat noir* 22% (pâte de cacao*, sucre de canne&quot;, beurre de cacao&quot;), Sucre de canne* roux non raffiné, Farine complète de blé* 16%, Huile de tournesol oléique*, Arôme naturel de vanille, Lait écrémé en poudre, Sel de mer, carbonates d'ammonium, carbonates de sodium, gomme d'acacia*, extraits de romarin* Peut contenir du soja, des œufs, des fruits à coque, des graines de sésame et de la moutarde. *Ingrédients biologiques.","en:gluten,en:milk,en:soybeans",2.0,https://images.openfoodfacts.org/images/products/322/982/010/0234/front_fr.246.400.jpg,4.0,2.0
6111031005552,Merendino,"Bimo,Mondelez",gateau fourré chocolat,e,4.0,unknown,410.0,20.0,12.0,55.0,39.0,1.8,4.0,0.51,"Sucre, huiles végétales non hydrogénées (palme, palmiste, soja), œufs, floculants (glycérol, sorbitol), sirop de glucose, poudre de cacao maigre, filtrat de lait , amidon d'origine végétale) (mono - et diglycérides d'acides gras de soja bétaïne. bicarbonate de sodium. Régulateur d'acidité (acide citrique). Conservateurs (acide sorbique de potassium. Acide sorbique fenouil (gomme xanthane)","en:eggs,en:gluten,en:milk,en:soybeans",7.0,https://images.openfoodfacts.org/images/products/611/103/100/5552/front_en.22.400.jpg,5.0,
